887,28,47,38,8,25,0,0,0,0,14,0,1,0,0,0,13,11,0,0,0,0,0,0,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,481
13,1171,56,6,9,10,0,0,0,0,58,0,14,0,0,0,34,3,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,640
37,54,2664,24,7,22,0,0,0,0,29,0,17,0,0,0,91,33,0,0,0,0,0,0,19,3,0,0,0,0,0,0,5,31,0,0,0,0,0,0,1343
35,10,41,732,11,18,0,0,0,0,10,0,1,0,0,0,14,10,0,0,0,0,0,0,8,3,0,0,0,0,0,0,3,9,0,0,0,0,0,0,471
6,9,6,3,132,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
12,13,6,2,3,574,0,0,0,0,4,0,3,0,0,0,7,3,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,249
0,0,0,0,0,0,498,1,10,21,0,2,0,5,1,5,0,0,0,2,10,20,10,0,0,0,12,5,1,0,11,1,0,0,5,11,3,1,0,0,357
0,0,0,0,0,0,0,153,2,2,0,1,0,0,1,2,0,0,3,1,3,0,1,0,0,0,1,1,4,6,9,0,0,0,2,1,2,2,0,0,74
0,0,0,0,0,0,6,3,1192,38,0,11,0,3,6,7,0,0,11,9,11,4,29,3,0,0,2,5,7,1,59,4,0,0,6,5,9,9,1,0,766
0,0,0,0,0,0,3,2,11,691,0,3,0,4,5,6,0,0,0,3,3,9,14,1,0,0,1,3,3,1,4,3,0,0,3,7,6,3,0,0,398
8,35,29,7,4,4,0,0,0,0,741,0,12,0,0,0,34,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,349
0,0,0,0,0,0,0,0,9,2,0,881,0,1,1,1,0,0,0,2,5,2,6,4,0,0,0,34,1,0,4,0,0,0,2,3,1,3,0,0,486
0,6,14,0,0,15,0,0,0,0,11,0,500,0,0,0,10,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,203
0,0,0,0,0,0,6,0,4,7,0,2,0,491,3,7,0,0,3,4,3,9,11,1,0,0,9,8,5,2,8,4,0,0,11,6,2,5,0,0,309
0,0,0,0,0,0,3,0,22,9,0,5,0,3,421,6,0,0,1,28,3,4,14,2,0,0,5,2,1,0,17,2,0,0,1,2,6,1,0,0,347
0,0,0,0,0,0,5,0,2,31,0,1,0,2,1,370,0,0,2,6,4,5,4,0,0,0,0,12,4,0,4,1,0,0,2,2,2,1,0,0,288
15,32,143,14,2,10,0,0,0,0,38,0,18,0,0,0,1484,43,0,0,0,0,0,0,16,1,0,0,0,0,0,0,2,12,0,0,0,0,0,0,863
4,11,90,7,8,15,0,0,0,0,22,0,42,0,0,0,59,1491,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,896
0,0,0,0,0,0,1,2,2,1,0,1,0,0,0,0,0,0,168,0,1,0,2,0,0,0,0,3,2,0,5,0,0,0,1,1,3,1,0,0,79
0,0,0,0,0,0,6,1,13,17,0,13,0,4,9,5,0,0,3,1268,7,6,24,9,0,0,13,3,0,5,22,3,0,0,6,8,5,13,1,0,677
0,0,0,0,0,0,7,2,19,18,0,14,0,4,5,3,0,0,2,4,1685,14,25,12,0,0,3,31,3,4,13,2,0,0,7,16,5,4,0,0,857
0,0,0,0,0,0,8,0,9,9,0,5,0,5,0,4,0,0,1,2,13,944,22,5,0,0,4,6,1,0,8,0,0,0,7,10,5,4,0,0,518
0,0,0,0,0,0,9,3,20,8,0,17,0,7,3,11,0,0,3,8,18,16,1942,19,0,0,10,21,6,3,39,1,0,0,15,6,4,9,0,0,994
0,0,0,0,0,0,0,0,3,1,0,3,0,1,2,1,0,0,0,1,1,2,10,220,0,0,0,2,2,1,3,0,0,0,0,0,1,1,0,0,128
9,7,13,10,2,5,0,0,0,0,4,0,0,0,0,0,8,1,0,0,0,0,0,0,332,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,215
2,0,6,7,0,3,0,0,0,0,3,0,1,0,0,0,4,1,0,0,0,0,0,0,5,160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,99
0,0,0,0,0,0,10,1,9,3,0,5,0,10,2,5,0,0,0,9,3,10,15,0,0,0,620,8,0,0,7,1,0,0,5,4,2,8,0,0,353
0,0,0,0,0,0,4,3,8,7,0,46,0,2,11,5,0,0,3,3,19,10,50,7,0,0,2,2081,5,0,17,0,0,0,8,13,2,10,0,0,1061
0,0,0,0,0,0,0,2,12,8,0,6,0,4,1,6,0,0,0,2,12,4,16,4,0,0,0,4,1736,4,10,2,0,0,7,6,5,80,0,0,718
0,0,0,0,0,0,1,21,8,10,0,4,0,3,2,4,0,0,3,3,4,6,6,4,0,0,3,3,12,422,3,1,0,0,0,7,5,12,2,0,210
0,0,0,0,0,0,7,8,62,19,0,2,0,7,1,6,0,0,2,16,16,13,61,7,0,0,5,18,7,4,2180,4,0,0,6,6,8,16,0,0,1062
0,0,0,0,0,0,1,0,3,7,0,0,0,1,0,2,0,0,0,0,2,1,5,0,0,0,0,3,3,0,3,105,0,0,1,0,1,1,0,0,84
5,4,10,2,0,2,0,0,0,0,3,0,2,0,0,0,10,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,84,3,0,0,0,0,0,0,69
5,11,38,6,2,7,0,0,0,0,9,0,7,0,0,0,25,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,391
0,0,0,0,0,0,4,0,7,6,0,2,0,8,0,2,0,0,1,3,4,7,11,2,0,0,2,4,2,2,7,0,0,0,418,1,2,2,0,0,239
0,0,0,0,0,0,6,3,6,8,0,2,0,4,4,5,0,0,1,4,10,15,7,3,0,0,5,15,1,1,3,3,0,0,1,722,1,0,0,0,411
0,0,0,0,0,0,0,1,6,15,0,4,0,2,1,20,0,0,0,0,2,2,3,0,0,0,2,2,3,1,5,0,0,0,0,3,405,1,0,0,312
0,0,0,0,0,0,1,1,11,3,0,3,0,3,2,0,0,0,0,1,7,4,8,1,0,0,2,4,40,2,20,3,0,0,2,1,1,836,0,0,474
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,4,0,0,0,1,0,0,3,36,0,26
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,41,311,36,13,54,31,10,209,140,51,72,37,34,32,44,115,91,8,47,73,64,213,47,43,7,24,98,52,8,147,12,7,53,41,44,32,55,4,0,0
